GameID,Ha,pHa,La,lot_shape__A,lot_shape_symm_A,lot_shape_L_A,lot_shape_R_A,LotNumA,Hb,pHb,Lb,lot_shape__B,lot_shape_symm_B,lot_shape_L_B,lot_shape_R_B,LotNumB,Amb,Corr,diffEV,diffSDs,diffMins,diffMaxs,diffUV,RatioMin,SignMax,pBbet_Unbiased1,pBbet_UnbiasedFB,pBbet_Uniform,pBbet_Sign1,pBbet_SignFB,Dom,diffBEV0,diffBEVfb,diffSignEV,block,Feedback,B_rate
0,218,0.25,-42,1,0,0,0,1,61,0.5,-13,0,1,0,0,5,0,0,1,-75.57654635,29,-155,-39.33333333,0.30952381,1,0.5044,0.51,0.0274,0.252,0.2479,0,1,1,130,1,0,0.5942
0,218,0.25,-42,1,0,0,0,1,61,0.5,-13,0,1,0,0,5,0,0,1,-75.57654635,29,-155,-39.33333333,0.30952381,1,0.5044,0.51,0.0274,0.252,0.2479,0,1,1,130,2,1,0.62045
0,218,0.25,-42,1,0,0,0,1,61,0.5,-13,0,1,0,0,5,0,0,1,-75.57654635,29,-155,-39.33333333,0.30952381,1,0.5044,0.51,0.0274,0.252,0.2479,0,1,1,130,3,1,0.6085
0,218,0.25,-42,1,0,0,0,1,61,0.5,-13,0,1,0,0,5,0,0,1,-75.57654635,29,-155,-39.33333333,0.30952381,1,0.5044,0.51,0.0274,0.252,0.2479,0,1,1,130,4,1,0.6026
0,218,0.25,-42,1,0,0,0,1,61,0.5,-13,0,1,0,0,5,0,0,1,-75.57654635,29,-155,-39.33333333,0.30952381,1,0.5044,0.51,0.0274,0.252,0.2479,0,1,1,130,5,1,0.59395
1,-4,1,-4,1,0,0,0,1,12,0.25,-3,0,0,0,1,2,0,0,4.75,6.51440711,1,17,11,0.75,1,1,1,1,0.2498,0.2384,1,4.75,4.75,8.5,1,0,1
1,-4,1,-4,1,0,0,0,1,12,0.25,-3,0,0,0,1,2,0,0,4.75,6.51440711,1,17,11,0.75,1,1,1,1,0.2498,0.2384,1,4.75,4.75,8.5,2,1,1
1,-4,1,-4,1,0,0,0,1,12,0.25,-3,0,0,0,1,2,0,0,4.75,6.51440711,1,17,11,0.75,1,1,1,1,0.2498,0.2384,1,4.75,4.75,8.5,3,1,1
1,-4,1,-4,1,0,0,0,1,12,0.25,-3,0,0,0,1,2,0,0,4.75,6.51440711,1,17,11,0.75,1,1,1,1,0.2498,0.2384,1,4.75,4.75,8.5,4,1,1
1,-4,1,-4,1,0,0,0,1,12,0.25,-3,0,0,0,1,2,0,0,4.75,6.51440711,1,17,11,0.75,1,1,1,1,0.2498,0.2384,1,4.75,4.75,8.5,5,1,1
2,70,0.25,-7,1,0,0,0,1,12,1,12,1,0,0,0,1,0,0,-0.25,-33.34197805,19,-58,-19.5,0,1,0.4916,0.5002,0,0.7534,0.7423,0,-0.25,-0.25,115.5,1,0,0.6917
