GameID,Ha,pHa,La,lot_shape__A,lot_shape_symm_A,lot_shape_L_A,lot_shape_R_A,LotNumA,Hb,pHb,Lb,lot_shape__B,lot_shape_symm_B,lot_shape_L_B,lot_shape_R_B,LotNumB,Amb,Corr,diffEV,diffSDs,diffMins,diffMaxs,diffUV,RatioMin,SignMax,pBbet_Unbiased1,pBbet_UnbiasedFB,pBbet_Uniform,pBbet_Sign1,pBbet_SignFB,Dom,diffBEV0,diffBEVfb,diffSignEV,B.1,B.2,B.3,B.4,B.5,BEASTpred.1,BEASTpred.2,BEASTpred.3,BEASTpred.4,BEASTpred.5,MSE,good_bad
1,3.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,0.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,1.6,-3.0,1.0,-1.0,0.0,1.0,0.597,0.5936,-0.0006,-0.2015,-0.2032,0.0,0.2,0.2,-0.8,0.4224,0.5712,0.568,0.5952,0.6496,0.44503000000000004,0.48963,0.51135,0.51613,0.52383,0.006489032419999996,1
2,3.0,0.25,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.300961894,0.0,1.0,0.5,1.0,1.0,0.1477,-0.0077,0.4997,-0.0514,-0.0567,0.0,0.05,0.05,-0.2,0.6128,0.616,0.6208,0.6384,0.616,0.55345,0.53069,0.52555,0.51985,0.5191600000000001,0.008660973839999997,1
3,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,-2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.5,0.0,0.0026,0.0054,0.0026,0.5013,0.5027,0.0,0.0,0.0,1.0,0.5792,0.6032,0.5984,0.5776,0.5632,0.522,0.51599,0.51103,0.5141899999999999,0.50979,0.005076879440000006,1
4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,0.008,-0.019,0.008,-0.496,-0.5095,0.0,0.0,0.0,-1.0,0.3536,0.5072,0.536,0.496,0.5392,0.44673,0.4624,0.47363,0.47431999999999996,0.47931,0.003725417660000001,1
5,-3.0,1.0,-3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,-4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.2,1.6,-1.0,3.0,1.0,0.75,0.0,-0.6044,-0.6046,0.0092,0.1978,0.1977,0.0,-0.2,-0.2,0.8,0.4928,0.46399999999999997,0.41600000000000004,0.3824,0.3568,0.50679,0.47563999999999995,0.46468999999999994,0.46116999999999997,0.45883999999999997,0.0038637600599999945,1
6,0.0,0.75,-3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8,-4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.05,0.300961894,-1.0,0.0,-0.5,0.75,0.0,-0.1507,-0.017,-0.4954,0.0499,0.0375,0.0,-0.05,-0.05,0.2,0.3824,0.4016,0.3968,0.424,0.4064,0.4498,0.46673000000000003,0.47471,0.48012,0.47878999999999994,0.004648882299999999,1
7,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.95,-20.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.358898944,-19.0,1.0,-9.0,0.05,0.0,0.9042,0.9012,-0.0078,0.9521,0.9506,0.0,0.0,0.0,19.0,0.4784,0.6288,0.6192,0.6224,0.6384,0.56076,0.57904,0.585,0.58145,0.58741,0.0029411499600000006,1
8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20.0,0.05,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.358898944,-1.0,19.0,9.0,0.0,1.0,-0.907,-0.8956,-0.0006,-0.9535,-0.9478,0.0,0.0,0.0,-19.0,0.3872,0.3824,0.32799999999999996,0.336,0.2896,0.35935,0.36029,0.36923,0.37073,0.37356,0.0022439684,1
9,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,100.0,0.01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.949874371,-1.0,99.0,49.0,0.0,1.0,-0.9802,-0.9828,0.0064,-0.9901,-0.9914,0.0,0.0,0.0,-99.0,0.4656,0.3984,0.3888,0.3904,0.3856,0.33177,0.3344,0.34143,0.33713000000000004,0.34119,0.0058120653599999985,1
10,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,101.0,0.01,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.949874371,-1.0,99.0,49.0,0.5,1.0,-0.9834,-0.981,-0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.5456,0.4544,0.4336,0.424,0.41600000000000004,0.55287,0.49615,0.45206999999999997,0.44078999999999996,0.43212,0.0005357629599999988,1
