GameID,Ha,pHa,La,LotShapeA,LotNumA,Hb,pHb,Lb,LotShapeB,LotNumB,Amb,Corr,av1,ap1,av2,ap2,av3,ap3,av4,ap4,av5,ap5,av6,ap6,av7,ap7,av8,ap8,av9,ap9,av10,ap10,bv1,bp1,bv2,bp2,bv3,bp3,bv4,bp4,bv5,bp5,bv6,bp6,bv7,bp7,bv8,bp8,bv9,bp9,bv10,bp10,B.1,B.2,B.3,B.4,B.5
211,96,0.2,3,Symm,5,59,0.5,-19,-,1,0,0,3,0.8,94,0.0125,95,0.05,96,0.075,97,0.05,98,0.0125,NA,NA,NA,NA,NA,NA,NA,NA,-19,0.5,59,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43166667,0.435,0.403333333,0.358333333,0.328333333
212,-9,1,-9,-,1,-6,0.99,-36,Symm,9,0,0,-9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-36,0.01,-10,0.003867188,-9,0.0309375,-8,0.10828125,-7,0.2165625,-6,0.270703125,-5,0.2165625,-4,0.10828125,-3,0.0309375,-2,0.003867188,0.75,0.86833333,0.928333333,0.926666667,0.948333333
213,1,1,1,-,1,27,0.05,1,-,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.95,27,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93,0.94833333,0.953333333,0.95,0.971666667
214,3,1,3,-,1,74,0.2,-20,-,1,0,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20,0.8,74,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175,0.145,0.183333333,0.17,0.161666667
215,32,0.5,14,-,1,17,0.99,16,Symm,5,0,0,14,0.5,32,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0.061875,16,0.2575,17,0.37125,18,0.2475,19,0.061875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13166667,0.09833333,0.121666667,0.096666667,0.106666667
216,53,0.05,-12,R-skew,7,-9,1,-9,-,1,0,0,-12,0.95,47,0.025,49,0.0125,53,0.00625,61,0.003125,77,0.0015625,109,0.00078125,173,0.00078125,NA,NA,NA,NA,-9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41333333,0.45666667,0.516666667,0.53,0.551666667
217,-6,1,-6,Symm,9,93,0.2,-35,L-skew,3,0,0,-10,0.00390625,-9,0.03125,-8,0.109375,-7,0.21875,-6,0.2734375,-5,0.21875,-4,0.109375,-3,0.03125,-2,0.00390625,NA,NA,-35,0.8,89,0.05,93,0.05,95,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40166667,0.33666667,0.336666667,0.308333333,0.275
218,12,1,12,-,1,83,0.2,-13,-,1,0,0,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13,0.8,83,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19166667,0.17333333,0.216666667,0.208333333,0.171666667
219,14,0.8,13,-,1,32,0.05,12,Symm,7,0,-1,13,0.2,14,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0.95,29,0.00078125,30,0.0046875,31,0.01171875,32,0.015625,33,0.01171875,34,0.0046875,35,0.00078125,NA,NA,NA,NA,0.59,0.51166667,0.46,0.453333333,0.43
220,-8,1,-8,-,1,-8,1,-8,R-skew,7,0,0,-8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14,0.5,-12,0.25,-8,0.125,0,0.0625,16,0.03125,48,0.015625,112,0.015625,NA,NA,NA,NA,NA,NA,0.49,0.49,0.485,0.456666667,0.47
