GameID,Ha,pHa,La,LotShapeA,LotNumA,Hb,pHb,Lb,LotShapeB,LotNumB,Amb,Corr,B.1,B.2,B.3,B.4,B.5
211,96,0.2,3,Symm,5,59,0.5,-19,-,1,0,0,0.431666667,0.435,0.403333333,0.358333333,0.328333333
212,-9,1,-9,-,1,-6,0.99,-36,Symm,9,0,0,0.75,0.868333333,0.928333333,0.926666667,0.948333333
213,1,1,1,-,1,27,0.05,1,-,1,1,0,0.93,0.948333333,0.953333333,0.95,0.971666667
214,3,1,3,-,1,74,0.2,-20,-,1,0,0,0.175,0.145,0.183333333,0.17,0.161666667
215,32,0.5,14,-,1,17,0.99,16,Symm,5,0,0,0.131666667,0.098333333,0.121666667,0.096666667,0.106666667
216,53,0.05,-12,R-skew,7,-9,1,-9,-,1,0,0,0.413333333,0.456666667,0.516666667,0.53,0.551666667
217,-6,1,-6,Symm,9,93,0.2,-35,L-skew,3,0,0,0.401666667,0.336666667,0.336666667,0.308333333,0.275
218,12,1,12,-,1,83,0.2,-13,-,1,0,0,0.191666667,0.173333333,0.216666667,0.208333333,0.171666667
219,14,0.8,13,-,1,32,0.05,12,Symm,7,0,-1,0.59,0.511666667,0.46,0.453333333,0.43
220,-8,1,-8,-,1,-8,1,-8,R-skew,7,0,0,0.49,0.49,0.485,0.456666667,0.47
221,47,0.4,-11,-,1,21,0.4,1,R-skew,7,0,1,0.723333333,0.701666667,0.658333333,0.633333333,0.626666667
222,61,0.2,-13,L-skew,4,53,0.4,-43,L-skew,3,0,0,0.3,0.31,0.348333333,0.306666667,0.321666667
223,3,1,3,-,1,68,0.01,-1,-,1,0,0,0.143333333,0.106666667,0.138333333,0.131666667,0.121666667
224,56,0.5,0,-,1,41,0.6,5,-,1,0,0,0.648333333,0.588333333,0.545,0.528333333,0.533333333
225,8,0.99,5,R-skew,3,8,1,8,Symm,5,0,0,0.38,0.405,0.486666667,0.511666667,0.49
