SubjID,Location,Gender,Age,Set,Condition,GameID,Ha,pHa,La,LotShapeA,LotNumA,Hb,pHb,Lb,LotShapeB,LotNumB,Amb,Corr,Order,Trial,Button,B,Payoff,Forgone,RT,Apay,Bpay,Feedback,block
60004,Rehovot,F,23,6,ByProb,151,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,2,1,L,0,-37,20,10467,-37,20,0,1
60004,Rehovot,F,23,6,ByProb,151,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,2,2,R,1,20,-37,5992,-37,20,0,1
60004,Rehovot,F,23,6,ByProb,151,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,2,3,R,1,20,21,1358,21,20,0,1
60004,Rehovot,F,23,6,ByProb,151,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,2,4,R,1,20,21,1076,21,20,0,1
60004,Rehovot,F,23,6,ByProb,151,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,2,5,L,0,-37,20,4739,-37,20,0,1
60004,Rehovot,F,23,6,ByProb,151,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,2,6,L,0,-37,20,1545,-37,20,1,2
60004,Rehovot,F,23,6,ByProb,151,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,2,7,R,1,20,21,1084,21,20,1,2
60004,Rehovot,F,23,6,ByProb,151,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,2,8,R,1,20,21,2531,21,20,1,2
60004,Rehovot,F,23,6,ByProb,151,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,2,9,L,0,35,20,1319,35,20,1,2
60004,Rehovot,F,23,6,ByProb,151,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,2,10,L,0,23,20,1660,23,20,1,2
60004,Rehovot,F,23,6,ByProb,151,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,2,11,L,0,83,20,1418,83,20,1,3
60004,Rehovot,F,23,6,ByProb,151,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,2,12,L,0,21,20,1114,21,20,1,3
60004,Rehovot,F,23,6,ByProb,151,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,2,13,L,0,21,20,906,21,20,1,3
60004,Rehovot,F,23,6,ByProb,151,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,2,14,L,0,-37,20,957,-37,20,1,3
