GameID,Ha,pHa,La,LotNumA,Hb,pHb,Lb,LotNumB,Amb,Corr,lot_shape__A,lot_shape_symm_A,lot_shape_R_A,lot_shape_L_A,lot_shape__B,lot_shape_symm_B,lot_shape_R_B,lot_shape_L_B,MSE,MSE_var,good_bad,diffEV,diffSDs,diffMins,diffMaxs,diffUV,RatioMin,SignMax,pBbet_Unbiased1,pBbet_UnbiasedFB,pBbet_Uniform,pBbet_Sign1,pBbet_SignFB,Dom,diffBEV0,diffBEVfb,diffSignEV
13,0,1.0,0,1,50,0.5,-50,1,0,0,1,0,0,0,1,0,0,0,0.14144849112811714,0.0080394731669977,0,0.0,50.0,-50.0,50.0,0.0,0.0,1.0,0.0138,0.0054,0.0138,0.0138,0.0054,0.0,0.0,0.0,0.0
25,2,1.0,2,1,3,0.5,1,1,0,0,1,0,0,0,1,0,0,0,0.1823069718541233,0.006960118978529845,0,0.0,1.0,-1.0,1.0,0.0,0.5,1.0,-0.0116,0.0246,-0.0116,0.0,0.0,0.0,0.0,0.0,0.0
1,3,1.0,3,1,4,0.8,0,1,0,0,1,0,0,0,1,0,0,0,0.17240374616848722,0.00826593626431687,0,0.2,1.6,-3.0,1.0,-1.0,0.0,1.0,0.597,0.5936,-0.0006,-0.2015,-0.2032,0.0,0.2,0.2,-0.8
27,16,1.0,16,1,48,0.4,1,3,0,0,1,0,0,0,0,0,0,1,0.15928199791539518,0.006051429061625707,0,3.8,23.07726154,-15.0,34.0,19.75,0.0625,1.0,-0.1982,-0.1896,0.4956,0.0,0.0,0.0,3.8,3.8,0.0
24,-2,1.0,-2,1,-1,0.5,-3,1,0,0,1,0,0,0,1,0,0,0,0.17176690952783275,0.0060507611564595614,0,0.0,1.0,-1.0,1.0,0.0,0.666666667,-1.0,-0.0114,0.0172,-0.0114,0.0,0.0,0.0,0.0,0.0,0.0
10,2,1.0,2,1,101,0.01,1,1,0,0,1,0,0,0,1,0,0,0,0.2110676378358569,0.005226329552240131,0,0.0,9.949874371,-1.0,99.0,49.0,0.5,1.0,-0.9834,-0.981,-0.0018,0.0,0.0,0.0,0.0,0.0,0.0
2,3,0.25,0,1,4,0.2,0,1,0,0,1,0,0,0,1,0,0,0,0.1774797086647634,0.009625898517113542,0,0.05,0.300961894,0.0,1.0,0.5,1.0,1.0,0.1477,-0.0077,0.4997,-0.0514,-0.0567,0.0,0.05,0.05,-0.2
4,1,1.0,1,1,2,0.5,0,1,0,0,1,0,0,0,1,0,0,0,0.17457127994470725,0.005113350077552752,0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,0.008,-0.019,0.008,-0.496,-0.5095,0.0,0.0,0.0,-1.0
11,19,1.0,19,1,20,0.9,-20,1,0,0,1,0,0,0,1,0,0,0,0.11182206035407788,0.019699638556888388,0,-3.0,12.0,-39.0,1.0,-19.0,0.0,1.0,0.8076,0.8064,0.0218,-0.0962,-0.0968,0.0,-3.0,-3.0,-8.0
22,10,0.1,0,1,10,0.1,0,1,1,0,1,0,0,0,1,0,0,0,0.1334682622030576,0.020195736207692248,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.097,0.0004,0.0,0.097,0.0004,0.0,1.0,0.5,0.0
12,0,1.0,0,1,50,0.5,-50,1,0,0,1,0,0,0,1,0,0,0,0.1626826222349568,0.008587217089899462,0,0.0,50.0,-50.0,50.0,0.0,0.0,1.0,0.0116,-0.0006,0.0116,0.0116,-0.0006,0.0,0.0,0.0,0.0
15,7,1.0,7,1,50,0.5,1,1,0,0,1,0,0,0,1,0,0,0,0.07912799168446577,0.012596774762683852,1,18.5,24.5,-6.0,43.0,18.5,0.14285714300000002,1.0,-0.0056,0.0138,-0.0056,0.0,0.0,0.0,18.5,18.5,0.0
26,16,1.0,16,1,50,0.4,1,1,0,0,1,0,0,0,1,0,0,0,0.14911966701077176,0.005472049565783768,0,4.6,24.00499948,-15.0,34.0,9.5,0.0625,1.0,-0.2054,-0.2064,-0.0072,0.0,0.0,0.0,4.6,4.6,0.0
30,6,0.5,0,1,8,0.5,0,1,0,1,1,0,0,0,1,0,0,0,0.018039542128389256,0.005248703774685421,1,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.5031,0.4973,0.5031,0.0,0.0,1.0,1.0,1.0,0.0
18,30,1.0,30,1,50,0.5,-1,1,0,0,1,0,0,0,1,0,0,0,0.14264724244519505,0.013279135022798693,0,-5.5,25.5,-31.0,20.0,-5.5,0.0,1.0,-0.0006,0.0016,-0.0006,-0.5003,-0.4992,0.0,-5.5,-5.5,-51.0
14,0,1.0,0,1,1,0.5,-1,1,0,0,1,0,0,0,1,0,0,0,0.1736170655165475,0.008197486763379452,0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,-0.006,-0.0034,-0.006,-0.006,-0.0034,0.0,0.0,0.0,0.0
8,1,1.0,1,1,20,0.05,0,1,0,0,1,0,0,0,1,0,0,0,0.18512174813715912,0.015923315110673197,0,0.0,4.358898944,-1.0,19.0,9.0,0.0,1.0,-0.907,-0.8956,-0.0006,-0.9535,-0.9478,0.0,0.0,0.0,-19.0
21,10,0.5,0,1,10,0.5,0,1,1,0,1,0,0,0,1,0,0,0,0.17452445377169648,0.006287736227420863,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.1607,0.0094,0.0,-0.1607,0.0094,0.0,-1.666666667,-0.833333333,0.0
7,-1,1.0,-1,1,0,0.95,-20,1,0,0,1,0,0,0,1,0,0,0,0.17506971907052327,0.008469642829472367,0,0.0,4.358898944,-19.0,1.0,-9.0,0.05,0.0,0.9042,0.9012,-0.0078,0.9521,0.9506,0.0,0.0,0.0,19.0
17,30,1.0,30,1,50,0.5,1,1,0,0,1,0,0,0,1,0,0,0,0.12833923001052078,0.012241666467380376,0,-4.5,24.5,-29.0,20.0,-4.5,0.033333333,1.0,0.019,-0.009000000000000001,0.019,0.0,0.0,0.0,-4.5,-4.5,0.0
23,10,0.9,0,1,10,0.9,0,1,1,0,1,0,0,0,1,0,0,0,0.1442049948016233,0.016809680140361466,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.4294,0.001,0.0,-0.4294,0.001,0.0,-4.333333333,-2.166666667,0.0
9,1,1.0,1,1,100,0.01,0,1,0,0,1,0,0,0,1,0,0,0,0.20104162324949149,0.010076017172348316,0,0.0,9.949874371,-1.0,99.0,49.0,0.0,1.0,-0.9802,-0.9828,0.0064,-0.9901,-0.9914,0.0,0.0,0.0,-99.0
5,-3,1.0,-3,1,0,0.2,-4,1,0,0,1,0,0,0,1,0,0,0,0.17395213319792194,0.008622730130281283,0,-0.2,1.6,-1.0,3.0,1.0,0.75,0.0,-0.6044,-0.6046,0.0092,0.1978,0.1977,0.0,-0.2,-0.2,0.8
6,0,0.75,-3,1,0,0.8,-4,1,0,0,1,0,0,0,1,0,0,0,0.18509781474058207,0.008769272403141673,0,-0.05,0.300961894,-1.0,0.0,-0.5,0.75,0.0,-0.1507,-0.017,-0.4954,0.0499,0.0375,0.0,-0.05,-0.05,0.2
16,7,1.0,7,1,50,0.5,-1,1,0,0,1,0,0,0,1,0,0,0,0.10582726326689287,0.0173148571612898,0,17.5,25.5,-8.0,43.0,17.5,0.0,1.0,0.0004,0.014,0.0004,-0.4998,-0.493,0.0,17.5,17.5,-51.0
20,9,1.0,9,1,9,1.0,9,8,0,0,1,0,0,0,0,0,1,0,0.1886940686398472,0.01254848398534512,0,0.0,26.17250466,-7.0,247.0,54.75,0.222222222,1.0,-0.7494,-0.7504,0.2376,0.0,0.0,0.0,0.0,0.0,0.0
28,6,0.5,0,1,9,0.5,0,1,0,-1,1,0,0,0,1,0,0,0,0.05852965664740165,0.007177302020765595,1,1.5,1.5,0.0,3.0,1.5,1.0,1.0,0.5055,0.0,0.5055,0.0,0.0,1.0,1.5,1.5,0.0
19,9,1.0,9,1,9,1.0,9,8,0,0,1,0,0,0,0,0,1,0,0.17059209158036906,0.013210647669253214,0,0.0,26.17250466,-7.0,247.0,54.75,0.222222222,1.0,-0.7476,-0.7436,0.2554,0.0,0.0,0.0,0.0,0.0,0.0
29,2,1.0,2,1,3,1.0,3,1,0,0,1,0,0,0,1,0,0,0,0.009284079084564393,0.0023499345843924486,1,1.0,0.0,1.0,1.0,1.0,0.666666667,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
3,-1,1.0,-1,1,0,0.5,-2,1,0,0,1,0,0,0,1,0,0,0,0.16036732571944415,0.007547582001628638,0,0.0,1.0,-1.0,1.0,0.0,0.5,0.0,0.0026,0.0054,0.0026,0.5013,0.5027,0.0,0.0,0.0,1.0
41,29,1.0,29,1,44,0.4,21,5,0,0,1,0,0,0,0,1,0,0,0.1442825,0.016023677080078118,0,1.2,11.28538878,-8.0,17.0,11.16666667,0.7241379309999999,1.0,-0.2054,-0.19,0.6652,0.0,0.0,0.0,1.2,1.2,0.0
59,17,0.25,16,1,43,0.4,2,1,0,0,1,0,0,0,1,0,0,0,0.15901750000000006,0.006910359461015625,0,2.15,19.65280319,-14.0,26.0,6.0,0.125,1.0,-0.2012,-0.185,-0.0038,0.0,0.0,0.0,2.15,2.15,0.0
58,85,0.4,-7,1,40,0.25,24,1,0,0,1,0,0,0,1,0,0,0,0.16510499999999992,0.006687714181992189,0,-1.8,-38.14240804,31.0,-45.0,-7.0,0.0,1.0,0.193,0.2016,0.0048,0.5965,0.6008,0.0,-1.8,-1.8,110.4
42,-6,1.0,-6,1,54,0.1,-21,1,1,0,1,0,0,0,1,0,0,0,0.13360999999999998,0.014847806136093756,0,-7.5,22.5,-15.0,60.0,22.5,0.28571428600000004,1.0,-0.5304,-0.8022,0.0068,0.2348,0.0989,0.0,2.5,-2.5,15.0
47,11,1.0,11,1,57,0.2,-5,6,0,0,1,0,0,0,0,0,0,1,0.09606249999999987,0.016984240057265617,1,-3.6,25.36217656,-16.0,51.0,25.14285714,0.0,1.0,-0.6278,-0.6128,0.4132,-0.8139,-0.8064,0.0,-3.6,-3.6,-107.61875
35,-5,1.0,-5,1,47,0.01,-15,1,0,0,1,0,0,0,1,0,0,0,0.042805000000000065,0.012202774192617205,1,-9.38,6.16892211,-10.0,52.0,21.0,0.333333333,1.0,-0.979,-0.9786,0.0146,0.0105,0.0107,0.0,-9.38,-9.38,1.24
51,42,0.8,-18,1,68,0.2,23,1,0,0,1,0,0,0,1,0,0,0,0.121155,0.012210311147695321,0,2.0,-6.0,41.0,26.0,33.5,0.0,1.0,-0.1884,-0.2968,1.0,0.2036,0.1975,0.0,2.0,2.0,34.4
43,14,1.0,14,1,12,0.9,9,1,0,0,1,0,0,0,1,0,0,0,0.022027499999999964,0.0024454553885156238,1,-2.3,0.9,-5.0,-2.0,-3.5,0.642857143,1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-2.3,-2.3,0.0
34,7,1.0,7,1,27,0.1,4,3,0,0,1,0,0,0,0,1,0,0,0.186545,0.0070857678624609375,0,-0.7,6.903622238,-3.0,21.0,14.25,0.571428571,1.0,-0.7964,-0.8036,0.4976,0.0,0.0,0.0,-0.7,-0.7,0.0
46,37,0.01,9,1,30,0.6,-37,1,0,0,1,0,0,0,1,0,0,0,0.12123250000000005,0.014418688933476554,0,-6.08,30.03719773,-46.0,-7.0,-26.5,0.0,1.0,0.1974,0.194,-1.0,-0.3921,-0.3967,0.0,-6.08,-6.08,-59.2
48,-2,1.0,-2,1,24,0.5,-24,1,1,0,1,0,0,0,1,0,0,0,0.15870499999999998,0.006216601371328122,0,2.0,24.0,-22.0,26.0,2.0,0.083333333,1.0,-0.3544,-0.0086,0.0164,0.3228,0.4957,0.0,-6.666666667,-2.333333333,48.0
36,28,1.0,28,1,88,0.6,-46,3,0,0,1,0,0,0,0,0,1,0,0.15250750000000002,0.006564739545351564,0,6.4,65.67373904,-74.0,64.0,27.0,0.0,1.0,0.2054,0.1866,0.5004,-0.3973,-0.4067,0.0,6.4,6.4,-110.4
54,18,1.0,18,1,64,0.5,-33,1,0,0,1,0,0,0,1,0,0,0,0.12523750000000006,0.009541598430234366,0,-2.5,48.5,-51.0,46.0,-2.5,0.0,1.0,-0.0238,0.0096,-0.0238,-0.5119,-0.4952,0.0,-2.5,-2.5,-97.0
45,13,1.0,13,1,13,1.0,13,9,0,0,1,0,0,0,0,1,0,0,0.1918025,0.0058183746704296895,0,0.0,1.4142135619999998,-4.0,4.0,0.0,0.692307692,1.0,-0.0069,-0.0019,-0.0041,0.0,0.0,0.0,0.0,0.0,0.0
53,28,1.0,28,1,42,0.75,-22,1,0,0,1,0,0,0,1,0,0,0,0.1675700000000001,0.006772995642656256,0,-2.0,27.71281292,-50.0,14.0,-18.0,0.0,1.0,0.4996,0.4956,0.0052,-0.2502,-0.2522,0.0,-2.0,-2.0,-32.0
38,24,1.0,24,1,34,0.05,28,1,0,0,1,0,0,0,1,0,0,0,0.01679750000000001,0.002806326129726562,1,4.3,1.307669683,4.0,10.0,7.0,0.857142857,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.3,4.3,0.0
