classifier,score_name,scoring,scoring avg,data
Nearest Neighbors,accuracy,[0.46998689 0.41087811 0.52096986 0.38479685 0.53656619],0.4646395806028833,individuals per game and player
Nearest Neighbors,balanced_accuracy,[0.47379759 0.40154571 0.52374275 0.38755903 0.52429301],0.46218762004130287,individuals per game and player
Nearest Neighbors,average_precision,[0.51286716 0.46703826 0.54350743 0.46296779 0.53441305],0.5041587396837834,individuals per game and player
Nearest Neighbors,neg_brier_score,[-0.4507354  -0.52258628 -0.39560216 -0.52896461 -0.37313237],-0.4542041648463667,individuals per game and player
Nearest Neighbors,f1,[0.45790885 0.49329275 0.51926871 0.37679235 0.61797753],0.4930480378572454,individuals per game and player
Nearest Neighbors,f1_micro,[0.46998689 0.41087811 0.52096986 0.38479685 0.53656619],0.4646395806028833,individuals per game and player
Nearest Neighbors,f1_macro,[0.46972365 0.39486988 0.52096386 0.38469535 0.51451841],0.4569542311459024,individuals per game and player
Nearest Neighbors,f1_weighted,[0.46890606 0.4016808  0.52084611 0.38414639 0.52170496],0.45945686212011105,individuals per game and player
Nearest Neighbors,neg_log_loss,[-12.20357516 -15.36628862 -10.29992603 -14.9270811   -8.98280294],-12.355934771434363,individuals per game and player
Nearest Neighbors,precision,[0.50517598 0.45659432 0.56031791 0.41106605 0.55255023],0.49714089973761766,individuals per game and player
Nearest Neighbors,recall,[0.41873008 0.53640598 0.48382353 0.34779412 0.70098039],0.49754682039523335,individuals per game and player
Nearest Neighbors,jaccard,[0.29694019 0.32739788 0.35068396 0.23212825 0.44715447],0.3308609501614783,individuals per game and player
Nearest Neighbors,roc_auc,[0.44752853 0.36413093 0.53132733 0.35084859 0.50817067],0.4404012100544762,individuals per game and player
Nearest Neighbors,roc_auc_ovr,[0.44752853 0.36413093 0.53132733 0.35084859 0.50817067],0.4404012100544762,individuals per game and player
Nearest Neighbors,roc_auc_ovo,[0.44752853 0.36413093 0.53132733 0.35084859 0.50817067],0.4404012100544762,individuals per game and player
Nearest Neighbors,roc_auc_ovr_weighted,[0.44752853 0.36413093 0.53132733 0.35084859 0.50817067],0.4404012100544762,individuals per game and player
Nearest Neighbors,roc_auc_ovo_weighted,[0.44752853 0.36413093 0.53132733 0.35084859 0.50817067],0.4404012100544762,individuals per game and player
Decision Tree,accuracy,[0.55884666 0.62070773 0.56435125 0.61258191 0.51310616],0.57391874180865,individuals per game and player
Decision Tree,balanced_accuracy,[0.57961622 0.62116096 0.58196217 0.61053887 0.488159  ],0.5762874453033364,individuals per game and player
Decision Tree,average_precision,[0.6304021  0.67714354 0.60642808 0.62695322 0.59316494],0.6268183770241381,individuals per game and player
Decision Tree,neg_brier_score,[-0.29097088 -0.23155192 -0.2800604  -0.28054264 -0.2553505 ],-0.26769526671048477,individuals per game and player
Decision Tree,f1,[0.40382572 0.63404148 0.44636909 0.63854243 0.65048452],0.5546526471936397,individuals per game and player
Decision Tree,f1_micro,[0.55884666 0.62070773 0.56435125 0.61258191 0.51310616],0.57391874180865,individuals per game and player
Decision Tree,f1_macro,[0.52685565 0.62020355 0.54362534 0.61057311 0.42414099],0.5450797260806673,individuals per game and player
Decision Tree,f1_weighted,[0.51834191 0.62116114 0.53686966 0.61251593 0.43986341],0.5457504108763003,individuals per game and player
Decision Tree,neg_log_loss,[-2.21667481 -0.9289769  -1.24599929 -3.15761082 -0.72878834],-1.655610033460484,individuals per game and player
Decision Tree,precision,[0.72750479 0.65474014 0.6964657  0.63714007 0.52786685],0.6487435083874292,individuals per game and player
Decision Tree,recall,[0.27948026 0.61461142 0.32843137 0.63995098 0.84730392],0.5419555927298598,individuals per game and player
Decision Tree,jaccard,[0.25299601 0.4641733  0.28730703 0.46901383 0.48201339],0.3911007112103016,individuals per game and player
Decision Tree,roc_auc,[0.58546015 0.6548565  0.56744881 0.59354957 0.56155188],0.5925733826635134,individuals per game and player
Decision Tree,roc_auc_ovr,[0.58546015 0.6548565  0.56744881 0.59354957 0.56155188],0.5925733826635134,individuals per game and player
Decision Tree,roc_auc_ovo,[0.58546015 0.6548565  0.56744881 0.59354957 0.56155188],0.5925733826635134,individuals per game and player
Decision Tree,roc_auc_ovr_weighted,[0.58546015 0.6548565  0.56744881 0.59354957 0.56155188],0.5925733826635134,individuals per game and player
Decision Tree,roc_auc_ovo_weighted,[0.58546015 0.6548565  0.56744881 0.59354957 0.56155188],0.5925733826635134,individuals per game and player
Random Forest,accuracy,[0.5706422  0.527654   0.55399738 0.57326343 0.53709043],0.552529488859764,individuals per game and player
Random Forest,balanced_accuracy,[0.58880748 0.49931751 0.54057374 0.56581538 0.51504971],0.541912764179499,individuals per game and player
Random Forest,average_precision,[0.68230115 0.62992141 0.60711199 0.65526989 0.61481639],0.6378841674026071,individuals per game and player
Random Forest,neg_brier_score,[-0.24286768 -0.24513077 -0.24525501 -0.24188988 -0.24439601],-0.24390787105134942,individuals per game and player
Random Forest,f1,[0.44829909 0.67289889 0.63763178 0.62780064 0.65788454],0.6089029878899341,individuals per game and player
Random Forest,f1_micro,[0.5706422  0.527654   0.55399738 0.57326343 0.53709043],0.552529488859764,individuals per game and player
Random Forest,f1_macro,[0.54843618 0.41164982 0.52890278 0.56390032 0.47116269],0.5048103598651204,individuals per game and player
Random Forest,f1_weighted,[0.54150664 0.4297284  0.53645539 0.56833901 0.48413289],0.5120324631496376,individuals per game and player
Random Forest,neg_log_loss,[-0.67886853 -0.68293879 -0.68353483 -0.67657873 -0.68195153],-0.6807744819764147,individuals per game and player
Random Forest,precision,[0.71597633 0.53422683 0.56373564 0.5882605  0.54388213],0.5892162864092769,individuals per game and player
Random Forest,recall,[0.32630547 0.90880118 0.73382353 0.67303922 0.83235294],0.6948644660119503,individuals per game and player
Random Forest,jaccard,[0.28890818 0.50704418 0.46803189 0.45751416 0.49018476],0.44233663452048394,individuals per game and player
Random Forest,roc_auc,[0.63405403 0.57869265 0.57161433 0.60155188 0.57806045],0.5927946693869743,individuals per game and player
Random Forest,roc_auc_ovr,[0.63405403 0.57869265 0.57161433 0.60155188 0.57806045],0.5927946693869743,individuals per game and player
Random Forest,roc_auc_ovo,[0.63405403 0.57869265 0.57161433 0.60155188 0.57806045],0.5927946693869743,individuals per game and player
Random Forest,roc_auc_ovr_weighted,[0.63405403 0.57869265 0.57161433 0.60155188 0.57806045],0.5927946693869743,individuals per game and player
Random Forest,roc_auc_ovo_weighted,[0.63405403 0.57869265 0.57161433 0.60155188 0.57806045],0.5927946693869743,individuals per game and player
Neural Net,accuracy,[0.46539974 0.58715596 0.53486239 0.45714286 0.46526868],0.5019659239842726,individuals per game and player
Neural Net,balanced_accuracy,[0.5        0.6060204  0.5091608  0.48748032 0.5       ],0.5205323034411837,individuals per game and player
