classifier,score_name,scoring,scoring avg,data,threshold
Nearest Neighbors,accuracy,[0.66642193 0.14415076 0.15736662 0.36196769 0.33920705],0.33382280959373467,individuals per game and player,0.05
Nearest Neighbors,balanced_accuracy,[0.50255474 0.15600013 0.1742612  0.42004558 0.50294551],0.35116143319394133,individuals per game and player,0.05
Nearest Neighbors,average_precision,[0.33917275 0.28251724 0.28250824 0.30237534 0.33802366],0.3089194466776684,individuals per game and player,0.05
Nearest Neighbors,neg_brier_score,[-0.33357807 -0.84948605 -0.84007723 -0.62990156 -0.65853592],-0.6623157665742101,individuals per game and player,0.05
Nearest Neighbors,f1,[0.01016703 0.1307482  0.15217927 0.38528649 0.50367647],0.23641149069031964,individuals per game and player,0.05
Nearest Neighbors,f1_micro,[0.66642193 0.14415076 0.15736662 0.36196769 0.33920705],0.33382280959373467,individuals per game and player,0.05
Nearest Neighbors,f1_macro,[0.40478918 0.14394725 0.15733507 0.36104823 0.25769475],0.26496289665224354,individuals per game and player,0.05
Nearest Neighbors,f1_weighted,[0.53478463 0.14829525 0.15903348 0.35306372 0.17666406],0.27436823008952926,individuals per game and player,0.05
Nearest Neighbors,neg_log_loss,[-11.5136905  -29.09901769 -28.7948299  -21.46173736 -22.66919786],-22.70769465991047,individuals per game and player,0.05
Nearest Neighbors,precision,[1.         0.09913306 0.1148272  0.28456984 0.33660934],0.36702788632074645,individuals per game and player,0.05
Nearest Neighbors,recall,[0.00510949 0.1919708  0.22554745 0.59635036 1.        ],0.40379562043795614,individuals per game and player,0.05
Nearest Neighbors,jaccard,[0.00510949 0.06994681 0.08235608 0.23860981 0.33660934],0.14652630480284876,individuals per game and player,0.05
Nearest Neighbors,roc_auc,[0.50291971 0.14695694 0.1576125  0.4180884  0.50608049],0.34633160616191694,individuals per game and player,0.05
Nearest Neighbors,roc_auc_ovr,[0.50291971 0.14695694 0.1576125  0.4180884  0.50608049],0.34633160616191694,individuals per game and player,0.05
Nearest Neighbors,roc_auc_ovo,[0.50291971 0.14695694 0.1576125  0.4180884  0.50608049],0.34633160616191694,individuals per game and player,0.05
Nearest Neighbors,roc_auc_ovr_weighted,[0.50291971 0.14695694 0.1576125  0.4180884  0.50608049],0.34633160616191694,individuals per game and player,0.05
Nearest Neighbors,roc_auc_ovo_weighted,[0.50291971 0.14695694 0.1576125  0.4180884  0.50608049],0.34633160616191694,individuals per game and player,0.05
Decision Tree,accuracy,[0.66470876 0.10915321 0.11306902 0.69554577 0.72393539],0.4612824278022516,individuals per game and player,0.05
Decision Tree,balanced_accuracy,[0.5        0.1188225  0.1335245  0.68199908 0.65451931],0.4177730776259635,individuals per game and player,0.05
Decision Tree,average_precision,[0.33529124 0.29679895 0.28796863 0.50987375 0.54190553],0.3943676210342034,individuals per game and player,0.05
Decision Tree,neg_brier_score,[-0.33529124 -0.89099597 -0.8869309  -0.2269411  -0.20889701],-0.5098112438256048,individuals per game and player,0.05
Decision Tree,f1,[0.         0.10034602 0.12884615 0.58533333 0.51877133],0.2666593677997507,individuals per game and player,0.05
Decision Tree,f1_micro,[0.66470876 0.10915321 0.11306902 0.69554577 0.72393539],0.4612824278022516,individuals per game and player,0.05
Decision Tree,f1_macro,[0.39929433 0.10906782 0.11277801 0.67240371 0.66261147],0.3912310690705539,individuals per game and player,0.05
Decision Tree,f1_weighted,[0.53082887 0.11194094 0.10748488 0.70108622 0.70999493],0.432267170370236,individuals per game and player,0.05
Decision Tree,neg_log_loss,[-11.58054911 -30.77017095 -30.61105132  -0.75490084  -0.88716872],-14.92076818704947,individuals per game and player,0.05
Decision Tree,precision,[0.         0.07585949 0.09605735 0.53865031 0.62422998],0.26695942513272214,individuals per game and player,0.05
Decision Tree,recall,[0.         0.14817518 0.19562044 0.64087591 0.44379562],0.2856934306569343,individuals per game and player,0.05
Decision Tree,jaccard,[0.         0.05282332 0.0688592  0.4137606  0.35023041],0.1771347062850132,individuals per game and player,0.05
Decision Tree,roc_auc,[0.5        0.11551068 0.13092999 0.7277078  0.68648143],0.4321259795964439,individuals per game and player,0.05
Decision Tree,roc_auc_ovr,[0.5        0.11551068 0.13092999 0.7277078  0.68648143],0.4321259795964439,individuals per game and player,0.05
Decision Tree,roc_auc_ovo,[0.5        0.11551068 0.13092999 0.7277078  0.68648143],0.4321259795964439,individuals per game and player,0.05
Decision Tree,roc_auc_ovr_weighted,[0.5        0.11551068 0.13092999 0.7277078  0.68648143],0.4321259795964439,individuals per game and player,0.05
Decision Tree,roc_auc_ovo_weighted,[0.5        0.11551068 0.13092999 0.7277078  0.68648143],0.4321259795964439,individuals per game and player,0.05
Random Forest,accuracy,[0.66470876 0.64880078 0.66544298 0.61135585 0.68477729],0.655017131669114,individuals per game and player,0.05
Random Forest,balanced_accuracy,[0.5        0.48803387 0.50778705 0.49676478 0.53462961],0.5054430624684219,individuals per game and player,0.05
Random Forest,average_precision,[0.38217457 0.27680194 0.40567967 0.354307   0.51508121],0.38680887745834397,individuals per game and player,0.05
Random Forest,neg_brier_score,[-0.22421096 -0.23724289 -0.21942641 -0.23030094 -0.20937214],-0.224110668730078,individuals per game and player,0.05
Random Forest,f1,[0.         0.         0.0552868  0.20440882 0.14361702],0.08066252783766006,individuals per game and player,0.05
